time,mortgage30us_avg,n_obs
1971-04,7.31,5
1971-05,7.425,4
1971-06,7.53,4
1971-07,7.604,5
1971-08,7.6975,4
1971-09,7.6875,4
1971-10,7.628,5
1971-11,7.55,4
1971-12,7.48,5
1972-01,7.4375,4
1972-02,7.325,4
1972-03,7.298,5
1972-04,7.29,4
1972-05,7.3725,4
1972-06,7.372,5
1972-07,7.395,4
1972-08,7.4,4
1972-09,7.42,5
1972-10,7.42,4
1972-11,7.4275,4
1972-12,7.442,5
1973-01,7.4375,4
1973-02,7.44,4
1973-03,7.458,5
1973-04,7.5425,4
1973-05,7.6525,4
1973-06,7.734,5
1973-07,8.05,4
1973-08,8.496,5
1973-09,8.815,4
1973-10,8.77,4
1973-11,8.582,5
1973-12,8.5375,4
1974-01,8.54,4
1974-02,8.455,4
1974-03,8.406,5
1974-04,8.5825,4
1974-05,8.972,5
1974-06,9.085,4
1974-07,9.28,4
1974-08,9.586,5
1974-09,9.9575,4
1974-10,9.9775,4
1974-11,9.788,5
1974-12,9.615,4
1975-01,9.432,5
1975-02,9.105,4
1975-03,8.9025,4
1975-04,8.82,4
1975-05,8.906,5
1975-06,8.8925,4
1975-07,8.89,4
1975-08,8.942,5
1975-09,9.13,4
1975-10,9.224,5
1975-11,9.145,4
1975-12,9.0975,4
1976-01,9.016,5
1976-02,8.8125,4
1976-03,8.755,4
1976-04,8.73,5
1976-05,8.765,4
1976-06,8.8475,4
1976-07,8.934,5
1976-08,9.0,4
1976-09,8.9775,4
1976-10,8.93,5
1976-11,8.8125,4
1976-12,8.792,5
1977-01,8.7225,4
1977-02,8.67,4
1977-03,8.6875,4
1977-04,8.752,5
1977-05,8.8275,4
1977-06,8.8575,4
1977-07,8.942,5
1977-08,8.94,4
1977-09,8.896,5
1977-10,8.9225,4
1977-11,8.9225,4
1977-12,8.96,5
1978-01,9.015,4
1978-02,9.145,4
1978-03,9.202,5
1978-04,9.355,4
1978-05,9.5725,4
1978-06,9.708,5
1978-07,9.74,4
1978-08,9.785,4
1978-09,9.756,5
1978-10,9.8575,4
1978-11,10.1075,4
1978-12,10.346,5
1979-01,10.39,4
1979-02,10.4075,4
1979-03,10.426,5
1979-04,10.4975,4
1979-05,10.69,4
1979-06,11.036,5
1979-07,11.0925,4
1979-08,11.094,5
1979-09,11.3,4
1979-10,11.6375,4
1979-11,12.83,5
1979-12,12.9,4
1980-01,12.8775,4
1980-02,13.04,5
1980-03,15.2825,4
1980-04,16.325,4
1980-05,14.262,5
1980-06,12.71,4
1980-07,12.1925,4
1980-08,12.56,5
1980-09,13.1975,4
1980-10,13.792,5
1980-11,14.205,4
1980-12,14.79,4
1981-01,14.904,5
1981-02,15.1325,4
1981-03,15.4,4
1981-04,15.58,4
1981-05,16.402,5
1981-06,16.695,4
1981-07,16.832,5
1981-08,17.285,4
1981-09,18.16,4
1981-10,18.454,5
1981-11,17.825,4
1981-12,16.946,5
1982-01,17.485,4
1982-02,17.5975,4
1982-03,17.16,4
1982-04,16.892,5
1982-05,16.6775,4
1982-06,16.6975,4
1982-07,16.816,5
1982-08,16.27,4
1982-09,15.43,4
1982-10,14.608,5
1982-11,13.825,4
1982-12,13.624,5
1983-01,13.2475,4
1983-02,13.0425,4
1983-03,12.8,4
1983-04,12.782,5
1983-05,12.6325,4
1983-06,12.87,4
1983-07,13.422,5
1983-08,13.81,4
1983-09,13.726,5
1983-10,13.535,4
1983-11,13.435,4
1983-12,13.42,5
1984-01,13.3675,4
1984-02,13.2325,4
1984-03,13.386,5
1984-04,13.6525,4
1984-05,13.9425,4
1984-06,14.416,5
1984-07,14.6675,4
1984-08,14.47,5
1984-09,14.35,4
1984-10,14.13,4
1984-11,13.638,5
1984-12,13.18,4
1985-01,13.075,4
1985-02,12.92,4
1985-03,13.17,5
1985-04,13.195,4
1985-05,12.914,5
1985-06,12.215,4
1985-07,12.0325,4
1985-08,12.186,5
1985-09,12.1925,4
1985-10,12.135,4
1985-11,11.784,5
1985-12,11.26,4
1986-01,10.886,5
1986-02,10.71,4
1986-03,10.08,4
1986-04,9.9375,4
1986-05,10.144,5
1986-06,10.6825,4
1986-07,10.5075,4
1986-08,10.2,5
1986-09,10.0075,4
1986-10,9.974,5
1986-11,9.695,4
1986-12,9.31,4
1987-01,9.204,5
1987-02,9.0825,4
1987-03,9.035,4
1987-04,9.8325,4
1987-05,10.596,5
1987-06,10.5375,4
1987-07,10.278,5
1987-08,10.33,4
1987-09,10.8875,4
1987-10,11.26,5
1987-11,10.65,4
1987-12,10.64,5
1988-01,10.3825,4
1988-02,9.8925,4
1988-03,9.93,4
1988-04,10.202,5
1988-05,10.455,4
1988-06,10.46,4
1988-07,10.432,5
1988-08,10.5975,4
1988-09,10.48,5
1988-10,10.3025,4
1988-11,10.265,4
1988-12,10.612,5
1989-01,10.73,4
1989-02,10.645,4
1989-03,11.032,5
1989-04,11.05,4
1989-05,10.7725,4
1989-06,10.196,5
1989-07,9.8825,4
1989-08,9.985,4
1989-09,10.126,5
1989-10,9.9475,4
1989-11,9.7675,4
1989-12,9.744,5
1990-01,9.895,4
1990-02,10.1975,4
1990-03,10.268,5
1990-04,10.37,4
1990-05,10.4775,4
1990-06,10.164,5
1990-07,10.035,4
1990-08,10.1,5
1990-09,10.175,4
1990-10,10.1775,4
1990-11,10.014,5
1990-12,9.6725,4
1991-01,9.6375,4
1991-02,9.365,4
1991-03,9.5,5
1991-04,9.4925,4
1991-05,9.472,5
1991-06,9.615,4
1991-07,9.575,4
1991-08,9.244,5
1991-09,9.0075,4
1991-10,8.855,4
1991-11,8.712,5
1991-12,8.4975,4
1992-01,8.432,5
1992-02,8.7625,4
1992-03,8.935,4
1992-04,8.8525,4
1992-05,8.672,5
1992-06,8.51,4
1992-07,8.128,5
1992-08,7.975,4
1992-09,7.9225,4
1992-10,8.088,5
1992-11,8.305,4
1992-12,8.206,5
1993-01,7.9925,4
1993-02,7.6825,4
1993-03,7.495,4
1993-04,7.472,5
1993-05,7.465,4
1993-06,7.4175,4
1993-07,7.206,5
1993-08,7.1125,4
1993-09,6.915,4
1993-10,6.834,5
1993-11,7.155,4
1993-12,7.172,5
1994-01,7.06,4
1994-02,7.1525,4
1994-03,7.675,4
1994-04,8.316,5
1994-05,8.5975,4
1994-06,8.3975,4
1994-07,8.614,5
1994-08,8.5125,4
1994-09,8.64,5
1994-10,8.925,4
1994-11,9.17,4
1994-12,9.198,5
1995-01,9.1475,4
1995-02,8.8275,4
1995-03,8.462,5
1995-04,8.32,4
1995-05,7.955,4
1995-06,7.566,5
1995-07,7.6075,4
1995-08,7.86,4
1995-09,7.636,5
1995-10,7.475,4
1995-11,7.3775,4
1995-12,7.2,5
1996-01,7.03,4
1996-02,7.075,4
1996-03,7.624,5
1996-04,7.925,4
1996-05,8.07,5
1996-06,8.32,4
1996-07,8.245,4
1996-08,8.002,5
1996-09,8.23,4
1996-10,7.915,4
1996-11,7.618,5
1996-12,7.5975,4
1997-01,7.824,5
1997-02,7.65,4
1997-03,7.8975,4
1997-04,8.1425,4
1997-05,7.944,5
1997-06,7.69,4
1997-07,7.4975,4
1997-08,7.48,5
1997-09,7.43,4
1997-10,7.294,5
1997-11,7.205,4
1997-12,7.095,4
1998-01,6.994,5
1998-02,7.0425,4
1998-03,7.1275,4
1998-04,7.14,4
1998-05,7.144,5
1998-06,6.9975,4
1998-07,6.952,5
1998-08,6.9225,4
1998-09,6.7225,4
1998-10,6.71,5
1998-11,6.865,4
1998-12,6.738,5
1999-01,6.785,4
1999-02,6.8075,4
1999-03,7.04,4
1999-04,6.916,5
1999-05,7.145,4
1999-06,7.55,4
1999-07,7.632,5
1999-08,7.9425,4
1999-09,7.8225,4
1999-10,7.852,5
1999-11,7.7375,4
1999-12,7.912,5
2000-01,8.21,4
2000-02,8.325,4
2000-03,8.24,5
2000-04,8.1525,4
2000-05,8.515,4
2000-06,8.288,5
2000-07,8.1475,4
2000-08,8.0275,4
2000-09,7.912,5
2000-10,7.795,4
2000-11,7.745,4
2000-12,7.382,5
2001-01,7.0325,4
2001-02,7.05,4
2001-03,6.952,5
2001-04,7.0775,4
2001-05,7.145,4
2001-06,7.16,5
2001-07,7.1275,4
2001-08,6.95,5
2001-09,6.8175,4
2001-10,6.6175,4
2001-11,6.658,5
2001-12,7.065,4
2002-01,6.9975,4
2002-02,6.8925,4
2002-03,7.014,5
2002-04,6.985,4
2002-05,6.806,5
2002-06,6.65,4
2002-07,6.485,4
2002-08,6.29,5
2002-09,6.0925,4
2002-10,6.1125,4
2002-11,6.068,5
2002-12,6.0475,4
2003-01,5.916,5
2003-02,5.8425,4
2003-03,5.745,4
2003-04,5.8125,4
2003-05,5.484,5
2003-06,5.23,4
2003-07,5.6325,4
2003-08,6.264,5
2003-09,6.1475,4
2003-10,5.952,5
2003-11,5.9325,4
2003-12,5.876,5
2004-01,5.7125,4
2004-02,5.635,4
2004-03,5.445,4
2004-04,5.83,5
2004-05,6.27,4
2004-06,6.2875,4
2004-07,6.056,5
2004-08,5.8675,4
2004-09,5.754,5
2004-10,5.7225,4
2004-11,5.73,4
2004-12,5.752,5
2005-01,5.71,4
2005-02,5.6275,4
2005-03,5.928,5
2005-04,5.855,4
2005-05,5.72,4
2005-06,5.582,5
2005-07,5.695,4
2005-08,5.82,4
2005-09,5.774,5
2005-10,6.065,4
2005-11,6.33,4
2005-12,6.272,5
2006-01,6.145,4
2006-02,6.2525,4
2006-03,6.324,5
2006-04,6.5075,4
2006-05,6.5975,4
2006-06,6.682,5
2006-07,6.7625,4
2006-08,6.524,5
2006-09,6.4025,4
2006-10,6.3575,4
2006-11,6.24,5
2006-12,6.135,4
2007-01,6.2175,4
2007-02,6.285,4
2007-03,6.156,5
2007-04,6.18,4
2007-05,6.262,5
2007-06,6.6575,4
2007-07,6.695,4
2007-08,6.572,5
2007-09,6.3825,4
2007-10,6.375,4
2007-11,6.208,5
2007-12,6.095,4
2008-01,5.758,5
2008-02,5.9175,4
2008-03,5.97,4
2008-04,5.9175,4
2008-05,6.036,5
2008-06,6.32,4
2008-07,6.426,5
2008-08,6.4775,4
2008-09,6.0375,4
2008-10,6.2,5
2008-11,6.0875,4
2008-12,5.286,5
2009-01,5.0475,4
2009-02,5.13,4
2009-03,5.0025,4
2009-04,4.81,5
2009-05,4.8575,4
2009-06,5.42,4
2009-07,5.222,5
2009-08,5.1925,4
2009-09,5.0575,4
2009-10,4.952,5
2009-11,4.875,4
2009-12,4.93,5
2010-01,5.03,4
2010-02,4.99,4
2010-03,4.9675,4
2010-04,5.098,5
2010-05,4.8875,4
2010-06,4.7375,4
2010-07,4.564,5
2010-08,4.4275,4
2010-09,4.346,5
2010-10,4.225,4
2010-11,4.3,4
2010-12,4.714,5
2011-01,4.755,4
2011-02,4.9525,4
2011-03,4.836,5
2011-04,4.84,4
2011-05,4.6375,4
2011-06,4.51,5
2011-07,4.545,4
2011-08,4.27,4
2011-09,4.106,5
2011-10,4.0675,4
2011-11,3.9925,4
2011-12,3.958,5
2012-01,3.915,4
2012-02,3.89,4
2012-03,3.954,5
2012-04,3.91,4
2012-05,3.798,5
2012-06,3.675,4
2012-07,3.55,4
2012-08,3.602,5
2012-09,3.4975,4
2012-10,3.3825,4
2012-11,3.352,5
2012-12,3.345,4
2013-01,3.414,5
2013-02,3.5325,4
2013-03,3.565,4
2013-04,3.445,4
2013-05,3.536,5
2013-06,4.07,4
2013-07,4.37,4
2013-08,4.456,5
2013-09,4.49,4
2013-10,4.192,5
2013-11,4.255,4
2013-12,4.4575,4
2014-01,4.432,5
2014-02,4.3025,4
2014-03,4.3425,4
2014-04,4.3375,4
2014-05,4.192,5
2014-06,4.1625,4
2014-07,4.13,5
2014-08,4.115,4
2014-09,4.1625,4
2014-10,4.036,5
2014-11,3.9975,4
2014-12,3.864,5
2015-01,3.67,4
2015-02,3.71,4
2015-03,3.77,4
2015-04,3.672,5
2015-05,3.84,4
2015-06,3.9825,4
2015-07,4.046,5
2015-08,3.905,4
2015-09,3.89,4
2015-10,3.796,5
2015-11,3.9425,4
2015-12,3.964,5
2016-01,3.8725,4
2016-02,3.66,4
2016-03,3.694,5
2016-04,3.605,4
2016-05,3.6,4
2016-06,3.568,5
2016-07,3.44,4
2016-08,3.435,4
2016-09,3.46,5
2016-10,3.47,4
2016-11,3.77,4
2016-12,4.198,5
2017-01,4.15,4
2017-02,4.1675,4
2017-03,4.196,5
2017-04,4.045,4
2017-05,4.01,4
2017-06,3.904,5
2017-07,3.9675,4
2017-08,3.88,5
2017-09,3.805,4
2017-10,3.895,4
2017-11,3.922,5
2017-12,3.95,4
2018-01,4.0325,4
2018-02,4.33,4
2018-03,4.444,5
2018-04,4.4675,4
2018-05,4.586,5
2018-06,4.57,4
2018-07,4.5275,4
2018-08,4.55,5
2018-09,4.6275,4
2018-10,4.83,4
2018-11,4.866,5
2018-12,4.6375,4
2019-01,4.464,5
2019-02,4.37,4
2019-03,4.265,4
2019-04,4.1425,4
2019-05,4.072,5
2019-06,3.8025,4
2019-07,3.765,4
2019-08,3.616,5
2019-09,3.605,4
2019-10,3.688,5
2019-11,3.695,4
2019-12,3.72,4
2020-01,3.624,5
2020-02,3.465,4
2020-03,3.45,4
2020-04,3.306,5
2020-05,3.2325,4
2020-06,3.1625,4
2020-07,3.016,5
2020-08,2.935,4
2020-09,2.89,4
2020-10,2.834,5
2020-11,2.765,4
2020-12,2.684,5
2021-01,2.735,4
2021-02,2.81,4
2021-03,3.0825,4
2021-04,3.06,5
2021-05,2.9625,4
2021-06,2.975,4
2021-07,2.868,5
2021-08,2.8425,4
2021-09,2.9,5
2021-10,3.0675,4
2021-11,3.0675,4
2021-12,3.098,5
2022-01,3.445,4
2022-02,3.7625,4
2022-03,4.172,5
2022-04,4.9825,4
2022-05,5.23,4
2022-06,5.522,5
2022-07,5.4125,4
2022-08,5.2225,4
2022-09,6.112,5
2022-10,6.9,4
2022-11,6.805,4
2022-12,6.364,5
2023-01,6.2725,4
2023-02,6.2575,4
2023-03,6.544,5
2023-04,6.3425,4
2023-05,6.425,4
2023-06,6.714,5
2023-07,6.84,4
2023-08,7.072,5
2023-09,7.2,4
2023-10,7.62,4
2023-11,7.442,5
2023-12,6.815,4
2024-01,6.6425,4
2024-02,6.776,5
2024-03,6.82,4
2024-04,6.9925,4
2024-05,7.06,5
2024-06,6.9175,4
2024-07,6.8475,4
2024-08,6.5,5
2024-09,6.18,4
2024-10,6.428,5
2024-11,6.805,4
2024-12,6.715,4
2025-01,6.958,5
2025-02,6.8425,4
2025-03,6.65,4
2025-04,6.725,4
2025-05,6.816,5
2025-06,6.8175,4
2025-07,6.72,5
2025-08,6.5875,4
2025-09,6.3525,4
2025-10,6.254,5
2025-11,6.2375,4
2025-12,6.19,5
2026-01,6.1025,4
2026-02,6.0475,4
2026-03,6.055,2
